title,url,preview,image_url,date,category,page_number,date_range
Hoaks! Prabowo minta Kejagung usut kekayaan Sri...,https://turnbackhoax.id/articles/30417-hoaks-prabowo-minta-kejagung-usut-kekayaan-sri-mulyani,Jakarta (ANTARA/JACX) – Sebuah unggahan di Facebook menampilkan gambar...,https://img.antaranews.com/cache/730x487/2025/11/28/WhatsApp-Image-2025-11-28-at-09.51.11.jpeg,01/12/2025,Uncategorized,86,December 2025
Cek Fakta: Tidak Benar Ini Link Pendaftaran...,https://turnbackhoax.id/articles/30416-cek-fakta-tidak-benar-ini-link-pendaftaran-internet-rakyat-gratis-3-bulan,"Liputan6.com, Jakarta - Beredar di media sosial postingan klaim...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,01/12/2025,Uncategorized,86,December 2025
Cek Fakta: Tidak Benar Video Banjir Sibolga...,https://turnbackhoax.id/articles/30415-cek-fakta-tidak-benar-video-banjir-sibolga-diiringi-erupsi-gunung-api,"Liputan6.com, Jakarta- Cek Fakta Liputan6.com mendapati klaim video erupsi...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,01/12/2025,Uncategorized,86,December 2025
Keliru: Video Warga Papua Usir Imigran Asal...,https://turnbackhoax.id/articles/30414-keliru-video-warga-papua-usir-imigran-asal-jawa,VIDEO unjuk rasa dengan klaim masyarakat Papua mulai usir...,https://statik.tempo.co/data/2025/12/01/id_1444632/1444632_720.jpg,01/12/2025,Uncategorized,86,December 2025
[SALAH] Hiu Masuk Permukiman Warga saat Banjir...,https://turnbackhoax.id/articles/30422--salah-hiu-masuk-permukiman-warga-saat-banjir-di-lubuk-buaya-padang,Beredar video [arsip] dari akun TikTok “Adammarda” pada Jumat...,https://yudistira.turnbackhoax.id/uploads/1764571137_HEADER_-_Light_Background.png,01/12/2025,Unique,85,December 2025
"[SALAH] Pigai : Kalau Gak Ada Saya,...",https://turnbackhoax.id/articles/30421--salah-pigai-kalau-gak-ada-saya-mungkin-kkb-sudah-habis,Beredar unggahan foto [arsip] pada Senin (14/11/2025) oleh akun...,https://yudistira.turnbackhoax.id/uploads/1764570797_HEADER_-_Light_Background.png,01/12/2025,Politik,85,December 2025
Hoaks Video Kemunculan Buaya di Banjir Sibolga,https://turnbackhoax.id/articles/30429-hoaks-video-kemunculan-buaya-di-banjir-sibolga,tirto.id - Bencana banjir dan longsor di sebagian wilayah...,"https://mmc.tirto.id/image/otf/1240x0,q80/2025/12/01/header-periksa-fakta---buaya-di-banjir-sumatra_ratio-16x9.jpg",01/12/2025,Uncategorized,85,December 2025
Hoaks Munculnya Harimau Saat Banjir di Sibolga,https://turnbackhoax.id/articles/30428-hoaks-munculnya-harimau-saat-banjir-di-sibolga,tirto.id - Banjir dan tanah longsor tengah melanda Sumatra...,"https://mmc.tirto.id/image/otf/1240x0,q80/2025/12/01/header-periksa-fakta---harimau-di-banjir-sibolga_ratio-16x9.jpg",01/12/2025,Uncategorized,85,December 2025
Cek Fakta: Video Anjing dan Sapi Hanyut...,https://turnbackhoax.id/articles/30427-cek-fakta-video-anjing-dan-sapi-hanyut-terseret-banjir-ini-hasil-ai,"Liputan6.com, Jakarta - Beredar di media sosial postingan klaim...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,01/12/2025,Uncategorized,85,December 2025
Belum Ada Bukti: Minuman Herbal Bermanfaat untuk...,https://turnbackhoax.id/articles/30426-belum-ada-bukti-minuman-herbal-bermanfaat-untuk-detoksifikasi-darah,SEBUAH konten yang mengklaim beberapa minuman herbal bisa dikonsumsi...,https://statik.tempo.co/data/2025/12/01/id_1444654/1444654_720.jpg,01/12/2025,Uncategorized,85,December 2025
