title,url,preview,image_url,date,category,page_number,date_range
[PENIPUAN] Rekrutmen Relawan BAZNAS Ramadan 2025,https://turnbackhoax.id/articles/25404--penipuan-rekrutmen-relawan-baznas-ramadan-2025,Akun Instagram “lokerblog” pada Jumat (27/12/2024) membagikan foto [arsip]...,https://lh7-rt.googleusercontent.com/docsz/AD_4nXcWbxkLxrsMgEUPymu4agoja0rwuqFFbhhcZswmbh_UM8nX8rcVWQhPfl1H1M_yyEizsXtfd2NbFS4XizOZamHkkMmSUQ-4hYX98br8V82jZfdjOmHw4zyLpICsAZl30EyPywQQ?key=LHbzhkPtZNdMIGEUTsEEaxgN,31/01/2025,Uncategorized,1,January 2025
"[SALAH] Buntut Sengketa Pilkada Jateng, MK Diskualifikasi...",https://turnbackhoax.id/articles/25403--salah-buntut-sengketa-pilkada-jateng-mk-diskualifikasi-luthfi-taj-yasin,Akun Facebook “Idah Nurhayati” pada Senin (13/1/2025) mengunggah video...,https://yudistira.turnbackhoax.id/uploads/2025/01/HEADER-Light-Background-9-678x381.png,31/01/2025,Uncategorized,1,January 2025
[SALAH] Donald Trump Mau Pindahkan Dua Juta...,https://turnbackhoax.id/articles/25395--salah-donald-trump-mau-pindahkan-dua-juta-warga-gaza-ke-indonesia,Akun Instagram “awreceh.id” [arsip] pada Senin (20/1/2025) dan kanal...,https://yudistira.turnbackhoax.id/uploads/2025/01/header-donald-trump-pindahkan-2-juta-warga-gaza-ke-Indonesia-test-678x381.png,31/01/2025,Uncategorized,1,January 2025
[PENIPUAN] Kemendikdasmen Buka Loker Guru Privat Online,https://turnbackhoax.id/articles/25394--penipuan-kemendikdasmen-buka-loker-guru-privat-online,"Akun TikTok “bantuan_resmipemerintah” pada Rabu, (8/1/2025) mengunggah foto [arsip]...",https://yudistira.turnbackhoax.id/uploads/2025/01/HEADER-Light-Background-7-678x381.png,30/01/2025,Uncategorized,1,January 2025
Hoaks Anak Yatim Piatu di Makassar Meninggal...,https://turnbackhoax.id/articles/25402-hoaks-anak-yatim-piatu-di-makassar-meninggal-karena-kelaparan,"tirto.id - Baru-baru ini, muncul narasi di media sosial...",https://mmc.tirto.id/image/otf/970x0/2025/01/31/header-periksa-fakta---hoaks-anak-yatim-piatu-di-makassar-meninggal-karena-kelaparan-01_ratio-16x9.jpg,31/01/2025,Uncategorized,1,January 2025
Hoaks Disnaker Pemalang Adakan Program Tebus Murah...,https://turnbackhoax.id/articles/25401-hoaks-disnaker-pemalang-adakan-program-tebus-murah-iphone-15,"tirto.id - Beredar di media sosial, sebuah unggahan yang...",https://mmc.tirto.id/image/otf/970x0/2025/01/31/header-periksa-fakta---hoaks-disnaker-pemalang-adakan-program-tebus-murah-iphone-15-01_ratio-16x9.jpg,31/01/2025,Uncategorized,1,January 2025
Hoaks Elon Musk Akuisisi TikTok dan Ganti...,https://turnbackhoax.id/articles/25400-hoaks-elon-musk-akuisisi-tiktok-dan-ganti-namanya-jadi-x-videos,"tirto.id - Presiden Amerika Serikat (AS), Donald Trump telah...",https://mmc.tirto.id/image/otf/970x0/2025/01/31/header-periksa-fakta---hoaks-elon-musk-akuisisi-tiktok-dan-ganti-namanya-jadi-x-videos-01_ratio-16x9.jpg,31/01/2025,Uncategorized,1,January 2025
"Cek fakta, Prabowo sahkan RUU Perampasan Aset",https://turnbackhoax.id/articles/25399-cek-fakta-prabowo-sahkan-ruu-perampasan-aset,Jakarta (ANTARA/JACX) – Sebuah unggahan video di YouTube menarasikan...,https://img.antaranews.com/cache/730x487/2025/01/30/WhatsApp-Image-2025-01-30-at-13.48.22.jpeg,31/01/2025,Uncategorized,1,January 2025
[KLARIFIKASI] Narasi Satire Jokowi dan Presiden Kenya...,https://turnbackhoax.id/articles/25398--klarifikasi-narasi-satire-jokowi-dan-presiden-kenya-rayakan-status-tokoh-terkorup,KOMPAS.com - Foto Presiden ke-7 Republik Indonesia Joko Widodo...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,30/01/2025,Uncategorized,1,January 2025
[HOAKS] Video Raffi Ahmad Promosi Situs Judi...,https://turnbackhoax.id/articles/25397--hoaks-video-raffi-ahmad-promosi-situs-judi-miliknya,KOMPAS.com - Beredar unggahan video yang menampilkan selebritas Raffi...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,30/01/2025,Uncategorized,1,January 2025
