title,url,preview,image_url,date,category,page_number,date_range
[HOAKS] Acil Bimbo Meninggal Dunia pada 31...,https://turnbackhoax.id/articles/25414--hoaks-acil-bimbo-meninggal-dunia-pada-31-januari-2025,"KOMPAS.com - Penyanyi sekaligus personel gurp musik Bimbo, Raden...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,01/02/2025,Uncategorized,51,February 2025
[KLARIFIKASI] Video Prabowo Bertemu Susi Pudjiastuti Terjadi...,https://turnbackhoax.id/articles/25413--klarifikasi-video-prabowo-bertemu-susi-pudjiastuti-terjadi-2023-bukan-2025,KOMPAS.com - Beredar unggahan video dengan narasi yang mengeklaim...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,01/02/2025,Uncategorized,51,February 2025
[HOAKS] WEF dan PBB Merencanakan Krisis Air,https://turnbackhoax.id/articles/25412--hoaks-wef-dan-pbb-merencanakan-krisis-air,"KOMPAS.com - Organisasi global, seperti Perserikatan Bangsa-Bangsa (PBB) dan...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,01/02/2025,Uncategorized,51,February 2025
[HOAKS] Link Konfirmasi Pemenang Undian Bank SulutGo,https://turnbackhoax.id/articles/25411--hoaks-link-konfirmasi-pemenang-undian-bank-sulutgo,KOMPAS.com - Indikasi aksi phishing dengan modus undian berhadiah...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,31/01/2025,Uncategorized,51,February 2025
"[HOAKS] Poster Lowongan Kerja di Puskesmas Sawahan,...",https://turnbackhoax.id/articles/25410--hoaks-poster-lowongan-kerja-di-puskesmas-sawahan-kota-surabaya,KOMPAS.com - Di media sosial beredar poster lowongan kerja...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,31/01/2025,Uncategorized,51,February 2025
[KLARIFIKASI] Foto Ini Bukan Peresmian Pagar Laut...,https://turnbackhoax.id/articles/25409--klarifikasi-foto-ini-bukan-peresmian-pagar-laut-di-tangerang-banten,KOMPAS.com - Di media sosial beredar foto yang diklaim...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,31/01/2025,Uncategorized,51,February 2025
Cek Fakta: Tidak Benar PLN Isi Voucer...,https://turnbackhoax.id/articles/25408-cek-fakta-tidak-benar-pln-isi-voucer-listrik-gratis-untuk-yang-mendaftar-program-pelanggan-setia,"Liputan6.com, Jakarta- Cek Fakta Liputan6.com mendapati klaim PLN mengisi...",https://cdn1-production-images-kly.akamaized.net/0G1fEfshKTfvXA3IKW_dQh0AcnM=/640x360/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/5117354/original/025379100_1738393547-pln_peduli.jpg,01/02/2025,Uncategorized,51,February 2025
"[HOAKS] Buaya Masuk ke Rumah Warga Babelan,...",https://turnbackhoax.id/articles/25407--hoaks-buaya-masuk-ke-rumah-warga-babelan-bekasi-yang-banjir,KOMPAS.com - Di jagat maya beredar unggahan video dengan...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,31/01/2025,Uncategorized,51,February 2025
"[HOAKS] Artikel Berjudul ""Karier Bahlil Lahadalia dalam...",https://turnbackhoax.id/articles/25406--hoaks-artikel-berjudul-karier-bahlil-lahadalia-dalam-bahaya-,"KOMPAS.com - Di media sosial, beredar artikel yang menyebutkan...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,31/01/2025,Uncategorized,51,February 2025
"[HOAKS] Whoopi Goldberg, Megan Rapinoe, dan Taylor...",https://turnbackhoax.id/articles/25405--hoaks-whoopi-goldberg-megan-rapinoe-dan-taylor-swift-meninggalkan-as,KOMPAS.com - Sejumlah selebritas asal Amerika Serikat (AS) diklaim...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,31/01/2025,Uncategorized,51,February 2025
